Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
ABHIA ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABHIRAMI ,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:
ABI ,14,31,33,28,57,52,89,144,145,169,229,214,81,42,30,34,25,30,31,47
ABIA ,3,7,9,8,10,6,8,7,5,5,:,6,:,6,3,:,:,:,:,:
ABIBAT ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3
ABIBATU ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABIDA ,6,7,14,12,14,10,22,15,28,28,24,42,28,31,28,30,24,19,28,19
ABIDAH ,:,3,:,3,6,:,7,:,8,9,9,6,6,6,:,7,:,:,:,3
ABIDEMI ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABIE ,:,:,:,3,:,:,:,3,:,:,:,5,:,:,4,:,4,:,3,3
ABIEYUWA ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABIGAEL ,:,:,5,10,8,5,9,7,17,18,15,19,18,12,17,13,5,12,7,6
ABIGAIL ,1131,1181,1191,1316,1493,1632,1673,1973,2013,2147,2461,2643,2642,2318,2158,2333,2397,2485,2570,2595
ABIGAILE ,:,4,3,:,:,:,:,3,:,:,3,3,5,5,3,:,:,:,8,:
ABIGAIL-LOUISE ,:,:,:,:,:,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:
ABIGAIL-ROSE ,7,:,3,4,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABIGALE ,:,6,8,13,10,16,13,19,18,20,20,16,14,12,13,16,14,21,25,18
ABIGAYLE ,3,3,5,:,7,8,9,6,12,10,9,15,24,20,26,22,30,23,25,25
ABIGEL ,3,4,3,5,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABIHA ,19,17,23,38,12,17,21,11,11,:,:,:,:,:,:,:,:,:,:,:
ABI-LEIGH ,:,:,3,:,3,:,:,3,4,:,8,3,:,:,:,:,:,:,:,:
ABILENE ,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABI-LOUISE ,:,:,:,:,:,:,:,4,:,3,:,:,:,:,:,:,:,:,:,:
ABI-MAE ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABIMBOLA ,:,:,:,:,3,4,4,3,3,4,:,:,:,:,:,:,4,:,3,:
ABINA ,:,:,:,:,:,:,4,:,:,3,4,:,:,:,:,:,:,:,:,:
ABINAYA ,:,3,5,3,5,6,7,8,6,11,9,4,7,4,3,:,:,:,3,:
ABIODUN ,:,:,:,:,:,:,:,:,:,:,4,3,:,:,:,:,:,:,:,:
ABIOLA ,:,3,3,3,5,:,:,:,:,:,3,:,:,6,3,:,:,4,:,5
ABIONA ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABIR ,:,:,:,:,:,:,3,:,5,:,3,5,:,3,:,:,:,3,6,:
ABIRA ,3,5,:,3,4,:,:,4,8,4,:,:,:,:,:,:,4,:,:,:
ABIRAMI ,:,:,:,:,3,:,6,:,:,3,6,5,5,5,:,:,:,3,3,3
ABIRAMY ,:,:,:,:,:,:,3,:,:,:,:,:,:,3,:,:,:,:,:,:
ABI-ROSE ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABISHA ,3,4,6,8,3,4,4,7,11,8,8,4,5,3,6,:,:,:,:,:
ABISOLA ,:,3,3,6,4,5,4,3,:,:,3,4,6,4,3,:,:,3,4,4
ABISOYE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3
ABITHA ,:,:,:,:,:,:,:,3,:,:,:,:,4,:,:,:,:,:,:,:
ABIYA ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABLA ,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:
ABRA ,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABRAAR ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
ABRAR ,7,8,:,11,7,9,8,6,5,:,11,6,4,:,:,:,4,:,3,:
ABRIANNA ,5,4,4,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABRIELLA ,3,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABRIELLE ,3,5,3,3,:,:,:,:,4,:,:,:,:,:,:,:,:,:,:,:
ABRIL ,:,5,4,3,:,:,5,:,:,:,:,4,:,:,:,:,:,:,:,:
ABRISH ,25,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABY ,:,3,:,:,:,:,3,:,3,3,3,:,4,:,:,:,:,:,3,:
ABYAN ,3,:,:,:,:,:,:,4,5,4,:,:,3,:,:,:,:,:,3,:
ABYGAIL ,3,:,:,:,4,3,:,4,3,3,6,8,7,6,5,7,4,4,8,6
ABYGAYLE ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:
ACACIA ,21,29,18,18,36,24,17,27,29,19,21,20,20,22,9,3,18,12,13,9
ACE ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ACELYA ,:,:,3,3,:,3,:,3,3,3,3,4,6,4,5,4,:,4,:,:
ACER ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ACHSA ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
ACHSAH ,:,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADA ,293,217,168,123,121,81,71,51,33,29,28,13,12,7,12,9,7,4,11,5
ADABELLE ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADAEZE ,9,7,3,12,5,12,7,4,12,16,7,:,6,4,5,5,4,4,4,5
ADAH ,5,6,7,4,3,:,3,5,:,:,3,:,:,:,:,:,:,:,:,:
ADALIA ,4,3,6,3,:,3,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ADALIE ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADALIND ,7,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADALINE ,17,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADALYN ,24,6,:,3,:,3,5,:,:,:,:,:,:,:,:,:,:,:,:,:
ADALYNN ,7,5,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADAMA ,8,6,5,13,7,7,6,10,9,5,6,4,7,4,3,4,:,:,6,5
ADA-MAY ,3,4,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ADAN ,3,13,4,:,9,3,:,5,:,:,:,3,:,:,3,:,:,:,:,:
ADANA ,3,:,:,:,:,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:
ADANNA ,12,5,7,9,7,7,10,6,10,4,5,5,3,3,3,:,3,6,:,:
ADAOBI ,:,:,:,:,:,:,3,:,:,4,:,:,:,:,:,:,:,:,:,:
ADAORA ,:,5,5,4,4,5,5,4,5,5,:,4,:,:,:,:,:,:,:,:
ADAR ,:,:,:,:,:,:,:,:,3,:,3,:,:,:,:,:,:,:,:,:
ADARA ,3,:,9,:,4,3,6,:,5,5,6,4,:,6,6,5,:,6,3,:
