Name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
ABDUL- ,:,:,:,:,4,:,:,3,:,4,:,:,4,4,:,:,:,:,:,:
ABDULA ,:,:,:,:,:,:,:,:,3,:,3,:,3,:,:,:,:,:,:,:
ABDULAAHI ,:,:,4,:,:,:,:,:,4,:,:,6,:,:,:,:,:,:,:,:
ABDULAH ,:,:,:,4,:,:,5,4,4,:,:,6,:,:,:,:,:,3,3,3
ABDULAHAD ,3,6,:,:,:,7,:,:,3,3,:,:,:,:,:,:,:,:,:,:
ABDUL-AHAD ,:,8,3,7,5,4,:,4,4,:,:,:,:,:,:,:,:,:,:,:
ABDULAHI ,8,10,9,12,15,14,26,20,16,19,23,19,27,12,14,7,8,5,3,:
ABDULAI ,3,:,:,3,:,:,3,3,:,3,:,3,:,:,:,:,:,:,:,:
ABDULALEEM ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-ALEEM ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDULAZEEZ ,:,6,:,:,:,3,3,:,:,:,:,:,:,4,:,:,:,:,:,3
ABDUL-AZEEZ ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,6,:,3,5,3,4
ABDULAZIZ ,14,18,20,26,18,27,26,15,16,14,15,14,7,10,14,4,6,9,8,7
ABDUL-AZIZ ,8,:,3,3,:,:,3,:,3,:,6,:,3,:,:,:,3,3,5,3
ABDUL-BAASIT ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDULBASIT ,5,:,:,5,3,6,5,8,:,:,:,:,:,:,:,:,3,:,:,:
ABDUL-BASIT ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULFATAH ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-HAADI ,:,4,5,5,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDULHADI ,13,10,6,14,7,:,3,:,4,:,3,:,:,:,:,:,:,:,:,:
ABDUL-HADI ,11,10,8,6,7,3,3,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDULHAKEEM ,:,3,:,:,:,3,3,:,:,3,:,:,:,:,3,:,:,:,:,:
ABDUL-HAKEEM ,6,6,7,3,3,7,:,:,:,3,:,3,:,:,:,3,:,:,:,:
ABDULHAKIM ,3,:,:,3,4,3,:,:,:,:,:,3,:,:,4,:,3,:,:,:
ABDUL-HAKIM ,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULHALIM ,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULHAMEED ,:,:,:,3,:,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULHAMID ,:,:,:,3,:,:,4,:,:,:,:,:,:,:,:,:,:,:,:,4
ABDUL-HANNAN ,:,:,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-HASEEB ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:,:
ABDULILAH ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDULKADER ,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULKADIR ,4,6,8,9,:,11,7,4,10,13,3,8,6,5,8,3,5,7,:,7
ABDULKAREEM ,4,:,:,8,:,:,5,:,4,3,3,4,:,:,:,:,:,:,:,:
ABDUL-KAREEM ,:,7,:,:,6,:,:,6,:,3,:,:,4,:,:,:,:,:,:,3
ABDULKARIM ,:,4,:,3,8,5,4,3,3,5,:,3,:,3,4,4,:,3,3,:
ABDUL-KARIM ,:,3,:,:,:,:,:,:,:,:,:,5,:,:,:,:,:,3,:,:
ABDULKHALIQ ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULLA ,:,6,:,9,10,6,15,9,11,6,14,9,13,9,13,5,6,7,11,7
ABDULLAAH ,3,6,7,4,9,5,:,7,:,6,3,:,3,5,4,5,:,:,3,:
ABDULLAAHI ,:,:,:,:,4,3,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDULLAH ,386,373,333,363,352,323,315,308,316,269,239,209,212,191,167,151,140,90,97,85
ABDULLAHI ,36,35,48,51,57,47,56,45,56,69,44,50,47,38,26,23,21,11,21,18
ABDULLATEEF ,:,3,3,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-LATEEF ,:,:,3,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABDULLATIF ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,4,:,:
ABDULLOH ,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULMAJEED ,:,:,:,:,:,:,:,3,:,3,:,:,:,3,:,:,:,:,:,:
ABDULMAJID ,:,3,5,:,:,:,6,:,3,:,3,:,3,:,:,:,:,:,:,:
ABDULMALEK ,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:
ABDULMALIK ,10,20,15,7,8,12,14,6,12,4,9,:,6,4,4,:,5,:,5,:
ABDUL-MALIK ,4,6,4,7,4,9,8,4,:,:,3,:,:,:,:,:,3,:,:,:
ABDUL-MANNAN ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-MATEEN ,:,3,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABDUL-MOMIN ,:,5,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-MUIZ ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-NASIR ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:
ABDULQADIR ,5,4,5,5,6,3,3,3,8,4,3,3,:,5,3,:,:,:,:,:
ABDUL-QADIR ,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-QAYYUM ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULRAHEEM ,6,3,7,7,4,3,9,4,5,5,:,:,4,4,:,:,:,:,4,:
ABDUL-RAHEEM ,11,7,4,9,11,6,7,7,5,7,3,3,:,4,3,5,:,4,:,:
ABDULRAHIM ,4,3,6,3,8,6,:,10,8,3,6,:,3,:,:,4,4,:,4,:
ABDUL-RAHIM ,5,3,5,:,:,:,3,:,:,:,4,3,:,:,:,:,:,:,:,:
ABDULRAHMAN ,66,62,59,62,62,73,55,53,45,38,48,45,37,30,20,15,17,19,14,12
ABDUL-RAHMAN ,11,13,11,12,10,6,10,6,11,6,6,6,6,6,7,4,3,7,5,:
ABDULREHMAN ,4,7,4,3,7,3,3,:,:,:,:,3,:,:,:,:,:,:,:,:
ABDUL-REHMAN ,4,:,4,:,4,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULRHMAN ,:,:,:,:,:,:,:,:,:,:,:,4,:,:,:,:,:,:,:,:
ABDULSALAM ,:,6,5,:,3,6,:,:,3,:,3,:,:,:,:,:,:,:,:,:
ABDULSAMAD ,4,4,4,3,7,5,6,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-SAMAD ,3,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3,:,:
ABDUL-SAMI ,3,:,4,4,3,:,4,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-WAHAAB ,:,:,:,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:
ABDULWAHAB ,6,:,:,6,4,:,7,3,7,:,6,5,:,:,:,:,:,:,3,3
ABDUL-WAHAB ,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULWAHHAB ,:,:,:,:,:,3,:,:,:,:,:,3,:,:,:,:,:,:,:,:
ABDUL-WAHHAB ,3,:,3,:,3,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDULWAHID ,:,:,:,:,:,:,:,5,:,:,:,:,:,:,:,:,:,:,:,:
ABDUL-WASAY ,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDUR ,34,37,34,43,34,35,29,41,30,30,31,23,25,26,18,20,14,5,8,9
ABDURAHEEM ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDURAHIM ,:,:,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:
ABDURAHMAN ,24,19,22,26,22,21,23,16,27,15,19,12,10,6,11,9,7,8,3,4
ABDUR-RAFAY ,:,:,:,:,:,3,:,:,:,:,:,:,:,:,:,:,:,:,:,:
ABDURRAHEEM ,11,6,11,12,4,5,3,:,3,:,:,5,:,:,:,:,:,:,:,:
ABDUR-RAHEEM ,10,7,10,6,4,4,5,6,7,8,8,3,4,6,5,:,5,:,:,:
ABDURRAHIM ,:,:,:,:,4,:,:,3,:,:,:,:,:,:,:,:,3,:,:,:
ABDUR-RAHIM ,:,:,:,:,:,:,3,:,:,:,3,:,:,:,:,3,:,:,:,:
ABDURRAHMAAN ,:,8,4,4,5,3,7,3,4,3,4,4,4,8,:,3,:,:,:,:
ABDUR-RAHMAAN ,8,:,5,:,9,7,8,10,5,6,:,8,6,4,:,:,:,4,:,3
ABDURRAHMAN ,42,51,44,38,33,43,38,24,19,22,20,14,18,17,5,9,6,7,6,:
ABDUR-RAHMAN ,31,28,29,18,25,21,28,18,28,21,20,18,9,12,13,13,9,3,4,5
